no	trial	design	participant	group	session	date	name	opacity	rt	trial_order	repet	is.rep	orig	tot	abs	rel	cond
134	12	7	11	a	3	2022_Sep_22_1037	'bar_7_1','bar_7_5'	1	2.4242250919342	0	4	0	36	40	90	90	sham
135	12	8	11	a	3	2022_Sep_22_1037	'bar_8_2','bar_8_1'	1	1.70470213890076	1	1	0	39	40	97.5	97.5	sham
136	13	1	11	a	3	2022_Sep_22_1037	'bar_1_2','bar_1_6'	1	1.27985906600952	2	3	0	36	39	90	92.3076923076923	sham
137	13	7	11	a	3	2022_Sep_22_1037	'bar_7_1'	1	1.62502503395081	0	4	0	36	40	90	90	sham
138	13	8	11	a	3	2022_Sep_22_1037	'bar_8_2','bar_8_8'	1	1.597904920578	1	1	0	39	40	97.5	97.5	sham
139	14	1	11	a	3	2022_Sep_22_1037	'bar_1_2','bar_1_7'	1	1.51950788497925	2	3	0	36	39	90	92.3076923076923	sham
140	14	7	11	a	3	2022_Sep_22_1037	'bar_7_1','bar_7_8'	1	1.43905282020569	0	4	0	36	40	90	90	sham
141	14	8	11	a	3	2022_Sep_22_1037	'bar_8_2','bar_8_6'	1	1.2782461643219	1	1	0	39	40	97.5	97.5	sham
142	15	1	11	a	3	2022_Sep_22_1037	'bar_1_3'	1	4.23703813552856	2	3	1	36	39	90	92.3076923076923	sham
143	15	7	11	a	3	2022_Sep_22_1037	'bar_7_6','bar_7_2'	1	2.26418018341064	0	4	0	36	40	90	90	sham
144	15	8	11	a	3	2022_Sep_22_1037	'bar_8_2','bar_8_6','bar_8_1'	1	2.5043420791626	1	1	0	39	40	97.5	97.5	sham
145	16	1	11	a	3	2022_Sep_22_1037	'bar_1_3','bar_1_7'	1	1.22592902183533	2	3	0	36	39	90	92.3076923076923	sham
146	16	7	11	a	3	2022_Sep_22_1037	'bar_7_1','bar_7_6','bar_7_7'	1	2.07773017883301	0	4	0	36	40	90	90	sham
147	16	8	11	a	3	2022_Sep_22_1037	'bar_8_2','bar_8_6','bar_8_4'	1	1.99764108657837	1	1	0	39	40	97.5	97.5	sham
148	17	1	11	a	3	2022_Sep_22_1037	'bar_1_3','bar_1_6'	1	1.83759689331055	2	3	0	36	39	90	92.3076923076923	sham
149	17	7	11	a	3	2022_Sep_22_1037	'bar_7_1','bar_7_6','bar_7_3'	1	1.78445506095886	0	4	0	36	40	90	90	sham
150	17	8	11	a	3	2022_Sep_22_1037	'bar_8_2','bar_8_6','bar_8_5'	1	1.62413501739502	1	1	0	39	40	97.5	97.5	sham
151	18	1	11	a	3	2022_Sep_22_1037	'bar_1_3','bar_1_5'	1	1.35781407356262	2	3	0	36	39	90	92.3076923076923	sham
152	18	7	11	a	3	2022_Sep_22_1037	'bar_7_1','bar_7_6','bar_7_8'	1	2.37144303321838	0	4	0	36	40	90	90	sham
153	18	8	11	a	3	2022_Sep_22_1037	'bar_8_2','bar_8_6','bar_8_7'	1	1.43794798851013	1	1	0	39	40	97.5	97.5	sham
154	19	1	11	a	3	2022_Sep_22_1037	'bar_1_1','bar_1_6'	1	3.89102292060852	2	3	0	36	39	90	92.3076923076923	sham
155	19	7	11	a	3	2022_Sep_22_1037	'bar_7_1','bar_7_6','bar_7_5'	1	2.71877002716064	0	4	0	36	40	90	90	sham
156	19	8	11	a	3	2022_Sep_22_1037	'bar_8_2','bar_8_6','bar_8_3'	1	1.41268706321716	1	1	0	39	40	97.5	97.5	sham
157	2	1	11	a	3	2022_Sep_22_1037	'bar_1_3'	1	0.87810206413269	2	3	0	36	39	90	92.3076923076923	sham
158	2	7	11	a	3	2022_Sep_22_1037	'bar_7_8'	1	0.745729923248291	0	4	0	36	40	90	90	sham
159	2	8	11	a	3	2022_Sep_22_1037	'bar_8_8'	1	0.719821929931641	1	1	0	39	40	97.5	97.5	sham
160	20	1	11	a	3	2022_Sep_22_1037	'bar_1_1','bar_1_5'	1	1.22644209861755	2	3	0	36	39	90	92.3076923076923	sham
161	20	7	11	a	3	2022_Sep_22_1037	'bar_7_1','bar_7_6','bar_7_4'	1	3.49221682548523	0	4	0	36	40	90	90	sham
162	20	8	11	a	3	2022_Sep_22_1037	'bar_8_2','bar_8_6','bar_8_8'	1	1.49176502227783	1	1	0	39	40	97.5	97.5	sham
163	21	1	11	a	3	2022_Sep_22_1037	'bar_1_1','bar_1_8'	1	1.57097697257996	2	3	0	36	39	90	92.3076923076923	sham
164	21	7	11	a	3	2022_Sep_22_1037	'bar_7_1','bar_7_6','bar_7_2','bar_7_3'	1	3.4374508857727	0	4	0	36	40	90	90	sham
165	21	8	11	a	3	2022_Sep_22_1037	'bar_8_2','bar_8_8','bar_8_3'	1	2.23821115493774	1	1	0	39	40	97.5	97.5	sham
166	22	1	11	a	3	2022_Sep_22_1037	'bar_1_1','bar_1_7'	1	1.5441370010376	2	3	0	36	39	90	92.3076923076923	sham
167	22	7	11	a	3	2022_Sep_22_1037	'bar_7_1','bar_7_6','bar_7_2','bar_7_4'	1	4.23718094825745	0	4	0	36	40	90	90	sham
168	22	8	11	a	3	2022_Sep_22_1037	'bar_8_2','bar_8_8','bar_8_4'	1	2.07755088806152	1	1	0	39	40	97.5	97.5	sham
169	23	1	11	a	3	2022_Sep_22_1037	'bar_1_4','bar_1_6'	1	2.02428507804871	2	3	0	36	39	90	92.3076923076923	sham
170	23	7	11	a	3	2022_Sep_22_1037	'bar_7_1','bar_7_6','bar_7_2','bar_7_8'	1	3.57073593139648	0	4	0	36	40	90	90	sham
171	23	8	11	a	3	2022_Sep_22_1037	'bar_8_2','bar_8_8','bar_8_3','bar_8_7'	1	4.85072779655457	1	1	0	39	40	97.5	97.5	sham
172	24	1	11	a	3	2022_Sep_22_1037	'bar_1_4','bar_1_7'	1	1.33156704902649	2	3	0	36	39	90	92.3076923076923	sham
